participant_id,lab_room,sleep_hours,sleep_quality,caffeine_today,exercise_week,screen_estimate,mood_pre,energy_pre,stress_pre,tipi_1,tipi_2,tipi_3,tipi_4,tipi_5,tipi_6,tipi_7,tipi_8,tipi_9,tipi_10,age,gender,handedness,vision
1,2,7,2,2,0,13,7,5,3,4,5,5,6,4,3,6,3,5,4,33,2,1,1
2,2,6,4,5,3,10,3,4,5,2,3,2,6,3,7,5,7,3,3,20,2,1,1
3,2,8.5,3,0,3,4,7,5,4,5,2,5,4,3,5,7,2,4,5,20,2,1,1
4,2,9,3,3,5,5,7,4,5,4,4,4,5,6,5,6,7,4,1,34,2,1,1
5,2,6.5,3,0,3,6,5,5,5,2,4,5,5,5,6,6,4,5,4,18,2,1,1
6,1,7,4,0,2,6,5,5,1,3,2,5,5,5,7,5,5,5,1,19,2,1,1
7,1,5,3,0,2,8,3,4,9,4,3,5,5,5,4,6,4,3,4,21,2,2,1
8,2,5,2,0,3,10,7,3,2,6,4,5,5,5,3,6,6,4,5,19,2,1,1
9,2,4,3,1,0,10,8,7,9,6,4,5,5,3,6,6,5,3,2,18,2,1,2
10,1,7,3,0,0,7,5,4,7,6,5,4,1,7,1,5,2,5,1,18,1,1,1
11,2,5.5,2,0,3,7,4,3,7,7,5,3,7,5,5,7,5,1,2,18,2,1,1
12,1,6,4,0,1,14,7,6,9,3,5,3,4,7,7,6,4,6,4,23,2,1,2
13,1,5.5,3,1,1,12,7,6,5,5,4,5,6,6,4,5,4,4,4,21,2,1,1
14,1,8,4,2,4,9,5,3,5,3,4,5,6,4,3,5,5,4,4,21,1,1,2
15,1,9,5,2,1,8,10,8,2,4,5,5,3,5,6,6,3,5,4,20,2,1,1
16,2,4,3,0,6,4,6,2,2,6,5,5,5,3,3,5,5,3,2,18,2,1,1
17,2,8.5,4,0,0,12,7,4,3,2,2,4,5,4,6,6,3,3,4,19,2,1,1
18,1,8,3,1,5,7,6,5,6,4,4,5,7,5,4,6,3,5,2,21,1,1,1
19,2,6,3,0,3,8,5,5,3,5,4,5,5,4,5,6,4,5,3,19,2,1,1
20,1,7,4,1,2,7,6,5,4,4,4,5,5,5,5,5,4,4,4,20,2,1,1
21,2,5,2,1,2,9,5,4,6,3,5,4,6,4,6,5,5,3,5,18,2,1,1
22,1,6,3,0,3,6,6,5,5,5,4,5,5,5,5,6,4,5,3,22,2,1,1
23,2,7,3,2,2,8,6,5,4,4,5,5,5,4,5,5,4,4,4,19,2,1,1
24,1,8,4,0,4,7,7,6,3,5,4,6,5,5,4,6,3,5,3,21,2,1,1
25,2,6,3,1,2,10,6,4,5,4,4,5,5,5,5,5,5,4,4,18,1,1,1
26,1,7,3,0,3,8,7,6,4,5,3,5,4,6,4,6,4,5,3,28,1,1,2
27,2,6.5,4,1,2,9,6,5,4,5,4,5,5,5,5,6,4,4,3,18,2,1,1
28,1,7.5,3,0,4,7,7,5,3,4,3,6,5,5,4,6,3,5,4,19,1,1,1
