participant_id,lab_room,mood_post,energy_post,stress_post,enjoyed_overall,fav_task,least_fav_task
1,2,7,5,4,9,5,1
2,2,4,4,7,6,2,3
3,2,6,5,5,7,5,3
4,2,6,5,5,5,1,6
5,2,5,4,4,4,2,6
6,1,10,8,1,10,6,1
7,1,5,3,4,6,6,5
8,2,5,4,4,4,2,6
9,2,8,7,6,10,1,5
10,1,7,7,4,7,3,1
11,2,5,4,7,7,2,3
12,1,9,7,7,10,1,5
13,1,8,7,6,10,1,2
14,1,5,3,4,6,6,5
15,1,6,6,4,10,6,3
16,2,5,3,2,5,4,3
17,2,5,4,7,7,2,3
18,1,6,5,5,8,3,4
19,2,7,6,4,7,5,2
20,1,7,6,5,8,1,4
21,2,6,5,5,6,2,5
22,1,7,6,4,8,6,3
23,2,8,7,3,8,1,6
24,1,8,7,3,9,6,4
25,2,6,5,5,7,5,1
26,1,7,6,4,8,3,2
27,2,7,6,4,7,2,5
28,1,8,7,3,9,1,6
