participant_id,lab_room,hand_used,trial1_cm,trial2_cm,trial3_cm,trial4_cm,trial5_cm,missed_trials
1,2,1,22.6,18.6,13.5,18.1,16.3,0
2,2,1,10,7,13,17,9,1
3,2,1,22,28,23,26,24,1
4,2,1,26,21.5,24,22,29,0
5,2,1,12,15,11,8,10,0
6,1,1,3,18,26.5,20,15,2
7,1,1,20,23,25,20,18,1
8,2,1,12.7,15.2,11.5,5,3.7,0
9,2,1,15,9.1,10.6,18.5,11.5,0
10,1,1,26.7,20.8,15,12.7,10,1
11,2,1,16.5,15,22,13,18,1
12,1,1,14,12,16,18,15,0
13,1,1,22,19,21,17,20,0
14,1,1,25,23,20,18,22,0
15,1,1,18,15,12,14,16,0
16,2,1,10,14,12,16,11,0
17,2,1,19,21,18,22,17,0
18,1,1,24,22,19,21,18,0
19,2,1,17,15,18,14,16,0
20,1,1,12,14,11,15,13,0
21,2,1,20,18,22,16,19,0
22,1,1,23,20,18,21,17,0
23,2,1,15,17,14,18,16,0
24,1,1,19,16,20,15,18,0
25,2,1,14,16,13,17,15,0
26,1,1,21,18,23,19,20,0
27,2,1,16,18,15,19,17,0
28,1,1,22,19,21,18,20,0
