participant_id,lab_room,time_estimate_sec,counted,line_a_est,line_b_est,string1_est,string2_est,temp_est
1,2,43.4,0,5,3,15,30,21
2,2,44,1,23,35,23,35,19
3,2,57.96,1,10,7,22,26,10
4,2,56,1,10,7,26,22,11
5,2,40.75,1,9,6,14,21,24
6,1,52,1,20,34,25,39,12
7,1,58.4,1,20,10,25,30,15
8,2,56,1,15,7,32,22,23
9,2,80,1,10.5,6.5,22,34,24
10,1,63,1,10,6,40,25,21
11,2,19,0,8,4,4,5,10
12,1,20,0,8,5,4,6,10
13,1,86,1,8,5,15,20,23
14,1,54,1,12,8,20,28,18
15,1,48,1,15,9,25,35,20
16,2,52,1,10,6,18,24,22
17,2,65,1,14,8,22,30,19
18,1,58,1,12,7,24,32,21
19,2,45,1,11,7,19,26,20
20,1,55,1,13,8,21,28,22
21,2,62,1,9,5,16,22,18
22,1,50,1,14,9,23,31,21
23,2,47,1,10,6,17,25,19
24,1,59,1,11,7,20,27,20
25,2,53,1,12,8,18,26,21
26,1,61,1,15,9,24,30,22
27,2,49,1,10,6,19,25,20
28,1,56,1,13,8,22,29,21
