participant_id,lab_room,t1_actual,t1_guess,t1_conf,t2_actual,t2_guess,t2_conf,t3_actual,t3_guess,t3_conf,t4_actual,t4_guess,t4_conf,t5_actual,t5_guess,t5_conf,t6_actual,t6_guess,t6_conf
1,2,1,2,3,2,2,5,2,2,5,1,1,5,2,1,5,2,1,5
2,2,2,2,1,1,2,1,2,1,1,2,1,1,1,2,3,1,2,3
3,2,1,1,5,1,1,5,2,2,4,1,1,3,2,1,2,2,2,2
4,2,1,1,5,2,1,4,1,1,4,1,2,3,1,2,3,2,1,5
5,2,1,2,3,2,2,5,1,1,5,2,1,3,2,1,3,1,2,2
6,1,2,1,4,2,1,2,2,2,5,2,2,3,2,1,3,2,2,5
7,1,2,1,4,1,2,4,2,2,5,1,1,4,1,1,4,1,2,3
8,2,1,2,2,2,1,2,1,2,2,1,2,2,1,2,2,2,1,4
9,2,2,1,2,2,2,5,2,1,1,1,2,3,1,1,4,2,2,4
10,1,2,2,5,1,1,5,1,1,5,2,1,4,1,1,4,1,2,4
11,2,1,1,4,2,1,3,1,2,5,2,2,3,2,1,2,2,2,3
12,1,1,2,4,2,1,3,2,2,4,2,1,2,1,1,4,2,2,4
13,1,2,1,3,1,2,4,2,1,3,1,1,4,2,2,3,1,1,5
14,1,1,1,4,2,2,3,1,1,5,2,1,3,1,2,4,2,1,4
15,1,2,2,4,1,1,5,2,1,4,1,2,3,2,1,3,1,1,5
16,2,1,2,3,2,1,4,1,2,4,2,2,4,1,1,5,2,2,3
17,2,2,1,4,1,2,3,2,2,3,1,1,5,2,1,4,1,2,4
18,1,1,1,5,2,1,4,1,1,4,2,2,3,1,2,3,2,1,4
19,2,2,2,4,1,1,5,2,1,4,1,1,4,2,2,3,1,1,5
20,1,1,2,3,2,2,4,1,1,5,2,1,4,1,1,4,2,2,4
21,2,2,1,4,1,2,4,2,2,3,1,2,4,2,1,3,1,1,5
22,1,1,1,5,2,1,4,1,2,4,2,1,3,1,1,5,2,2,4
23,2,2,2,4,1,1,5,2,1,4,1,2,4,2,1,4,1,1,5
24,1,1,1,5,2,2,3,1,1,5,2,1,4,1,2,3,2,1,4
25,2,2,1,4,1,2,4,2,2,4,1,1,5,2,1,3,1,2,4
26,1,1,2,4,2,1,4,1,1,5,2,2,3,1,1,5,2,1,4
27,2,2,1,4,1,1,5,2,2,3,1,2,4,2,1,4,1,1,5
28,1,1,1,5,2,2,4,1,1,5,2,1,4,1,1,4,2,2,4
