participant_id,lab_room,rand1,rand2,rand3,rand4,rand5,rand6,rand7,rand8,rand9,rand10,rand11,rand12,rand13,rand14,rand15,rand16,rand17,rand18,rand19,rand20,dice_predict,roll1,roll2,roll3,roll4,roll5,roll6,roll7,roll8,roll9,roll10,flip1,flip2,flip3,flip4,flip5,flip6,flip7,flip8,flip9,flip10,longest_run
1,2,9,6,5,8,7,10,1,2,7,6,13,18,15,12,11,20,19,17,16,14,0,4,3,2,2,6,6,5,4,5,5,1,1,2,2,1,1,2,1,2,2,2
2,2,4,2,8,10,7,6,2,4,1,9,8,6,3,1,2,7,4,8,9,2,0,6,4,2,6,4,4,4,6,4,6,1,1,1,2,2,2,1,2,1,2,3
3,2,4,7,6,5,10,1,2,3,6,9,8,7,3,2,9,4,3,5,6,8,1,4,3,1,4,4,1,1,3,2,5,1,1,2,1,1,1,1,2,2,2,4
4,2,3,6,5,1,2,4,4,5,5,6,4,5,2,1,6,4,5,3,2,6,0,6,3,1,4,3,5,5,4,1,5,2,1,2,2,1,2,1,1,2,1,2
5,2,9,3,5,6,8,10,4,7,6,4,1,7,8,10,9,8,7,6,2,3,0,5,6,4,4,6,6,6,5,6,1,2,2,1,1,2,1,1,2,2,2,2
6,1,3,5,2,1,6,7,8,2,4,10,1,3,7,5,9,8,6,2,4,1,1,6,5,2,5,6,1,1,5,1,4,2,1,2,2,1,1,1,2,1,2,3
7,1,2,4,6,8,8,6,3,9,7,1,3,9,1,10,7,8,6,5,3,2,1,3,4,1,3,6,2,1,5,3,4,2,1,2,2,2,1,1,1,1,1,5
8,2,4,7,2,3,1,8,6,5,9,3,10,8,6,5,1,7,3,9,2,7,1,4,3,2,4,6,4,4,1,5,2,1,1,2,1,1,2,1,1,2,1,2
9,2,3,6,9,2,1,5,6,8,7,2,3,1,4,8,9,3,10,2,4,6,1,3,1,5,4,3,1,5,3,3,5,1,1,1,2,1,2,2,2,2,2,5
10,1,9,11,3,6,2,1,8,15,2,4,19,2,53,60,103,10,84,60,3,NA,0,6,6,6,3,2,4,3,3,1,1,2,2,1,2,1,1,1,2,2,5
11,2,5,4,1,6,8,10,5,8,9,3,1,2,4,3,7,6,10,9,8,6,0,2,1,6,3,5,3,4,1,4,4,1,1,1,1,2,1,2,1,1,2,4
12,1,3,6,4,8,9,7,10,2,4,5,3,7,8,9,1,3,5,4,9,2,0,2,1,6,1,5,6,3,1,1,4,2,1,1,2,2,1,2,1,1,1,3
13,1,2,4,5,6,10,10,16,20,62,15,13,14,100,200,121,130,116,110,NA,NA,0,1,NA,1,1,2,2,5,4,1,5,2,2,1,1,2,1,2,2,1,1,5
14,1,62,19,17,14,20,10,11,17,18,19,59,60,15,1,36,29,47,50,70,NA,1,6,2,4,5,4,4,3,1,4,6,1,2,2,2,1,2,1,2,1,1,3
15,1,3,6,9,2,1,5,6,8,7,4,5,8,2,7,9,4,3,6,1,2,0,4,2,5,3,6,1,4,3,5,2,1,2,1,1,2,1,2,2,1,2,2
16,2,7,3,5,9,2,6,4,8,1,10,6,4,8,2,7,5,3,9,1,10,0,3,5,2,4,6,1,3,5,4,2,1,1,2,2,1,1,2,1,2,2,2
17,2,4,8,2,6,9,3,7,1,5,10,3,7,1,9,5,8,2,6,4,10,1,2,4,6,3,5,1,4,2,6,3,2,1,1,2,1,2,1,2,1,2,2
18,1,5,2,8,4,7,10,3,6,9,1,4,8,2,6,10,3,7,1,5,9,0,4,3,5,2,6,1,4,3,5,2,1,2,1,2,1,2,1,2,1,2,2
19,2,6,3,9,2,5,8,1,7,4,10,5,9,3,7,1,8,4,2,6,10,1,3,5,4,2,6,1,3,5,4,2,1,1,2,1,2,1,2,1,2,1,2
20,1,8,4,1,7,3,10,6,2,9,5,7,3,10,4,8,1,5,9,2,6,0,2,4,6,3,5,1,4,2,6,3,2,1,2,1,2,1,2,1,2,1,2
21,2,2,7,4,9,6,3,10,5,1,8,4,8,2,6,10,3,7,1,5,9,0,5,3,4,2,6,1,5,3,4,2,1,2,1,2,1,2,1,2,1,2,2
22,1,9,5,2,6,3,10,7,4,1,8,6,2,9,5,3,10,7,4,1,8,1,4,2,5,3,6,1,4,2,5,3,1,1,2,2,1,1,2,2,1,1,2
23,2,3,7,1,8,5,2,9,6,10,4,5,9,3,7,1,8,4,2,10,6,0,3,5,2,4,6,1,3,5,2,4,2,1,2,1,2,1,2,1,2,1,2
24,1,6,2,9,4,7,1,10,5,8,3,7,3,10,6,2,9,5,1,8,4,1,4,6,3,5,2,1,4,6,3,5,1,2,1,2,1,2,1,2,1,2,2
25,2,4,8,3,6,9,2,5,10,7,1,8,4,1,7,3,10,6,2,9,5,0,5,4,3,6,2,1,5,4,3,6,1,1,2,2,1,1,2,2,1,1,2
26,1,7,3,10,6,2,9,4,8,1,5,9,5,2,8,4,1,7,3,10,6,1,3,5,4,2,6,1,3,5,4,2,2,1,2,1,2,1,2,1,2,1,2
27,2,5,9,2,7,4,10,6,1,8,3,6,10,4,8,2,5,9,3,7,1,0,4,3,5,6,2,1,4,3,5,6,1,2,1,2,1,2,1,2,1,2,2
28,1,8,4,7,3,10,5,1,9,6,2,7,1,8,4,10,5,2,9,6,3,0,5,4,6,3,2,1,5,4,6,3,2,1,2,1,2,1,2,1,2,1,2
