StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,participant_id,lab_room,sleep_hours,sleep_quality_1,caffeine_today,exercise_week,screen_estimate,mood_pre_1,energy_pre_1,stress_pre_1,tipi_1,tipi_2,tipi_3,tipi_4,tipi_5,tipi_6,tipi_7,tipi_8,tipi_9,tipi_10,age,gender,handedness,vision,pid,lab,word,music
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,I confirm I have read the information sheet and consent to participate in this study. I understand that my data will be used for teaching purposes and that I can withdraw at any time.,Please confirm your participant number (check your task sheet). It will be in the format A12 or B2:,Confirm your lab room:,"How many hours of sleep did you get last night? (Enter a number, e.g., 7.5)",How would you rate your sleep quality last night? - Sleep quality,How many caffeinated drinks have you had today? (0-10),How many days in the past week did you exercise for at least 30 minutes? (0-7),"Estimate your total screen time yesterday. This includes phone, laptop, tv, lectures etc (hours, e.g., 6.5):",How would you rate your current mood? - Mood,How energetic do you feel right now? - Energy,How stressed do you feel right now? - Stress,"I see myself as... - Extraverted, enthusiastic","I see myself as... - Critical, quarrelsome","I see myself as... - Dependable, self-disciplined","I see myself as... - Anxious, easily upset","I see myself as... - Open to new experiences, complex","I see myself as... - Reserved, quiet","I see myself as... - Sympathetic, warm","I see myself as... - Disorganized, careless","I see myself as... - Calm, emotionally stable","I see myself as... - Conventional, uncreative",What is your age in years?,What is your gender?,Which hand do you write with?,Is your vision normal or corrected-to-normal (with glasses/contacts)?,pid,lab,word,music
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID14_2""}","{""ImportId"":""QID14_3""}","{""ImportId"":""QID14_4""}","{""ImportId"":""QID14_5""}","{""ImportId"":""QID14_6""}","{""ImportId"":""QID14_7""}","{""ImportId"":""QID14_8""}","{""ImportId"":""QID14_9""}","{""ImportId"":""QID14_10""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""pid""}","{""ImportId"":""lab""}","{""ImportId"":""word""}","{""ImportId"":""music""}"
2026-01-15 10:37:53,2026-01-15 10:40:23,0,158.223.122.203,100,150,1,2026-01-15 10:40:23,R_2TtPvALvoH50Ztw,,,,,51.4781,-0.0279,qr,EN,1,,2,,2,0,0,11.5,5,2,5,3,1,4,6,6,6,5,6,3,2,18,1,1,1,,,,
2026-01-15 10:36:43,2026-01-15 10:41:01,0,23.248.167.39,100,257,1,2026-01-15 10:41:01,R_1TpWmj0mqqzD3WW,,,,,40.7126,-74.0066,qr,EN,1,B1,2,7,2,2,0,13,7,5,3,4,5,5,6,4,3,6,3,5,4,33,2,1,1,,,,
2026-01-15 10:37:48,2026-01-15 10:41:24,0,158.223.122.92,100,215,1,2026-01-15 10:41:24,R_2ALKSrx1IetJZDB,,,,,51.4781,-0.0279,qr,EN,1,B5,2,6,4,5,3 days,10 hours,3,4,5,2,3,2,6,3,7,5,7,3,3,20,3,1,1,,,,
2026-01-15 10:38:55,2026-01-15 10:42:00,0,158.223.122.45,100,185,1,2026-01-15 10:42:00,R_8hYwpD8L3vNfFRv,,,,,51.4781,-0.0279,qr,EN,1,,2,5,3,0,2,10,5,3,3,2,2,3,3,5,6,6,4,4,4,18,1,1,1,,,,
2026-01-15 10:37:25,2026-01-15 10:43:23,0,172.226.0.89,100,358,1,2026-01-15 10:43:24,R_2fEFRnqqHnXBRuh,,,,,51.5081,-0.1278,qr,EN,1,B4,2,8.5,3,0,3,4,7,5,4,5,2,5,4,3,5,7,2,4,5,20,1,1,1,,,,
2026-01-15 10:36:50,2026-01-15 10:43:42,0,158.223.122.138,100,412,1,2026-01-15 10:43:43,R_2LkfZdyKy9qm61T,,,,,51.4781,-0.0279,qr,EN,1,B2,2,9,3,3,5,5,7,4,5,4,4,4,5,6,5,6,7,4,1,34,2,1,1,,,,
2026-01-15 10:38:54,2026-01-15 10:44:36,0,158.223.122.136,100,342,1,2026-01-15 10:44:37,R_2menQ80zfBW3dJe,,,,,51.4781,-0.0279,qr,EN,1,B9,2,6.5,3,0,3,6,5,5,5,2,4,5,5,5,6,6,4,5,4,18,1,1,1,,,,
2026-01-15 10:42:02,2026-01-15 10:44:39,0,158.223.122.146,100,157,1,2026-01-15 10:44:39,R_2PnJLmkKK02d3pM,,,,,51.4781,-0.0279,qr,EN,1,A 4,1,,4,0,2,6 hours,5,5,1,3,2,5,5,5,7,5,5,5,1,,1,1,1,,,,
