StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,participant_id,Q13,mood_post_1,energy_post_1,stress_post_1,enjoyed_overall_1,fav_task,least_fav_task,comments,pid,lab,word,music
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Enter your participant number:,Confirm your lab group,How would you rate your current mood NOW? - Mood,How energetic do you feel NOW? - Energy,How stressed do you feel NOW? - Stress,How much did you enjoy DataLab overall? - Enjoyment,Which task was your FAVOURITE?,Which task was your LEAST favourite?,Any comments or feedback about DataLab? (Optional),pid,lab,word,music
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID13""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""pid""}","{""ImportId"":""lab""}","{""ImportId"":""word""}","{""ImportId"":""music""}"
2026-01-15 11:27:27,2026-01-15 11:28:23,0,158.223.122.138,100,56,1,2026-01-15 11:28:23,R_2pYqRkEnzHip3KF,,,,,51.4781,-0.0279,qr,EN,B2,2,6,5,5,5,1,6,,,,,
2026-01-15 11:28:10,2026-01-15 11:28:52,0,23.248.167.39,100,41,1,2026-01-15 11:28:52,R_1qlqoQuikKkklG1,,,,,40.7126,-74.0066,qr,EN,B1,2,7,5,4,9,5,1,,,,,
2026-01-15 11:41:23,2026-01-15 11:42:29,0,158.223.122.146,100,65,1,2026-01-15 11:42:29,R_8Mzc1KGJ8Fvykgx,,,,,51.4781,-0.0279,qr,EN,A4,1,10,8,1,10,6,1,,,,,
2026-01-15 11:41:51,2026-01-15 11:42:45,0,104.28.40.138,100,53,1,2026-01-15 11:42:45,R_8CxrBXLgxNDKbbF,,,,,51.3904,-0.0992,qr,EN,"A2 ",1,9,7,7,10,1,5,,,,,
2026-01-15 11:42:37,2026-01-15 11:43:28,0,158.223.122.203,100,50,1,2026-01-15 11:43:28,R_2FLSCFjos8G4kUN,,,,,51.4781,-0.0279,qr,EN,B6,2,5,5,5,8,5,6,,,,,
2026-01-15 11:42:47,2026-01-15 11:43:52,0,158.223.122.45,100,65,1,2026-01-15 11:43:53,R_8Y1q38kpaPk4iiJ,,,,,51.4781,-0.0279,qr,EN,B10,2,5,3,2,5,4,3,,,,,
2026-01-15 11:38:41,2026-01-15 11:44:42,0,158.223.122.92,100,361,1,2026-01-15 11:44:43,R_2ez4Dp4qlJ6FBsA,,,,,51.4781,-0.0279,qr,EN,B5,2,4,4,7,6,2,3,,,,,
2026-01-15 11:44:03,2026-01-15 11:44:44,0,104.28.40.138,100,41,1,2026-01-15 11:44:44,R_2Fr0nPjeKbuEdUU,,,,,51.3904,-0.0992,qr,EN,3,1,7,7,4,7,3,1,,,,,
2026-01-15 11:48:05,2026-01-15 11:48:59,0,78.86.132.115,100,53,1,2026-01-15 11:48:59,R_2PA0D3E5mQSVlUP,,,,,53.2558,-1.4292,qr,EN,7A,1,5,3,4,6,6,5,,,,,
2026-01-15 11:47:45,2026-01-15 11:49:32,0,158.223.122.136,100,107,1,2026-01-15 11:49:33,R_8qa1z40Km4qu77J,,,,,51.4781,-0.0279,qr,EN,B9,2,5,4,4,4,2,6,,,,,
2026-01-15 11:49:58,2026-01-15 11:50:35,0,82.132.212.189,100,37,1,2026-01-15 11:50:36,R_8bW5dxa2yuuxq6t,,,,,51.4659,-0.2117,qr,EN,A9,1,8,7,6,10,1,2,,,,,
2026-01-15 11:52:08,2026-01-15 11:53:36,0,172.226.0.90,100,88,1,2026-01-15 11:53:37,R_2MDz2P7M0Ni6b4X,,,,,51.5081,-0.1278,qr,EN,A10,1,6,6,4,10,6,3,,,,,
2026-01-15 16:11:02,2026-01-15 16:11:51,0,158.223.122.143,100,48,1,2026-01-15 16:11:52,R_23lji8tBVvWAnbH,,,,,51.4781,-0.0279,anonymous,EN,B7,2,5,4,7,7,2,3,,,,,
