StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,participant_id,Q11,mem_total_1,mem_positions_1,mem_positions_2,mem_positions_3,mem_positions_4,mem_positions_5,mem_positions_6,mem_positions_7,mem_positions_8,mem_positions_9,mem_positions_10,mem_intrusions_1,mem_strategy,mem_list_side,pid,lab,word,music
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Enter your participant number e.g. A12, or B2:",Confirm your Lab,How many words did you correctly recall? (Check your paper against the answer list) - Words recalled,Which positions did you remember correctly? Compare your list to the original order. - Position 1 (first word),Which positions did you remember correctly? Compare your list to the original order. - Position 2,Which positions did you remember correctly? Compare your list to the original order. - Position 3,Which positions did you remember correctly? Compare your list to the original order. - Position 4,Which positions did you remember correctly? Compare your list to the original order. - Position 5,Which positions did you remember correctly? Compare your list to the original order. - Position 6,Which positions did you remember correctly? Compare your list to the original order. - Position 7,Which positions did you remember correctly? Compare your list to the original order. - Position 8,Which positions did you remember correctly? Compare your list to the original order. - Position 9,Which positions did you remember correctly? Compare your list to the original order. - Position 10 (last word),"How many words did you write that were NOT on the original list? (These are called ""intrusions"") - Intrusions","Did you use any strategy to remember the words? If so, describe it briefly:",Which side of the screen was YOUR word list on?,pid,lab,word,music
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID11""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID4_2""}","{""ImportId"":""QID4_3""}","{""ImportId"":""QID4_4""}","{""ImportId"":""QID4_5""}","{""ImportId"":""QID4_6""}","{""ImportId"":""QID4_7""}","{""ImportId"":""QID4_8""}","{""ImportId"":""QID4_9""}","{""ImportId"":""QID4_10""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""pid""}","{""ImportId"":""lab""}","{""ImportId"":""word""}","{""ImportId"":""music""}"
2026-01-15 10:38:44,2026-01-15 10:40:59,0,104.28.40.135,100,135,1,2026-01-15 10:40:59,R_2Ljd1KRszUEciXv,,,,,51.3904,-0.0992,qr,EN,3,1,5,1,1,1,1,2,2,2,1,2,2,1,"First letters 
First part of word ",1,,,,
2026-01-15 10:38:39,2026-01-15 10:41:09,0,78.86.132.115,100,150,1,2026-01-15 10:41:10,R_2CfGziLlazr71qq,,,,,53.2558,-1.4292,qr,EN,A7,1,3,1,1,1,2,2,2,2,2,2,2,3,"Repeated each word 3 times ",1,,,,
2026-01-15 10:38:21,2026-01-15 10:41:14,0,158.223.122.146,100,173,1,2026-01-15 10:41:15,R_2DzJoHph2UJWCtS,,,,,51.4781,-0.0279,qr,EN,A4,1,6,1,2,2,2,2,2,2,2,2,2,2,"Associating some words with certain categories ",2,,,,
2026-01-15 10:38:59,2026-01-15 10:41:19,0,158.223.122.211,100,139,1,2026-01-15 10:41:19,R_25YoGZBbUiO1EQ2,,,,,51.4781,-0.0279,qr,EN,1,1,6,2,2,2,1,1,1,1,1,2,2,0,"Try remember the first word ",1,,,,
2026-01-15 10:38:31,2026-01-15 10:41:50,0,172.226.0.89,100,198,1,2026-01-15 10:41:50,R_82g1XUZFqeSS8FF,,,,,51.3904,-0.0992,qr,EN,A2,1,6,1,1,2,2,2,2,2,3,3,3,1,"I tired to count the words with my fingers ",2,,,,
2026-01-15 10:39:10,2026-01-15 10:41:51,0,82.132.214.23,100,161,1,2026-01-15 10:41:51,R_2gG5vebwuWoV4Dn,,,,,51.4659,-0.2117,qr,EN,6,1,7,1,1,1,1,1,1,2,1,2,2,2,Tried using a song,2,,,,
2026-01-15 10:41:54,2026-01-15 10:44:58,0,104.28.40.135,100,183,1,2026-01-15 10:44:58,R_2NeUr9w5IGfGDSI,,,,,51.3904,-0.0992,qr,EN,5,1,7,2,2,2,1,2,2,2,2,2,2,0,grouping and what stood out to me,1,,,,
2026-01-15 10:57:03,2026-01-15 10:59:08,0,23.248.167.39,100,124,1,2026-01-15 10:59:08,R_6pXoUrvNZz1Hk0y,,,,,40.7126,-74.0066,qr,EN,B1,2,6,2,2,2,2,2,2,2,2,2,2,0,"River, mountain and flower I imagined a valley with a river mountains and flowers.",1,,,,
