StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,participant_id,Q9,rt_hand,rt_trials_1,rt_trials_2,rt_trials_3,rt_trials_4,rt_trials_5,rt_missed,pid,lab,word,music
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Enter your participant number e.g A17 or B21:,And confirm your lab,Which hand did you use to catch the ruler?,Enter distance caught (cm) for each trial: - Trial 1 (cm),Enter distance caught (cm) for each trial: - Trial 2 (cm),Enter distance caught (cm) for each trial: - Trial 3 (cm),Enter distance caught (cm) for each trial: - Trial 4 (cm),Enter distance caught (cm) for each trial: - Trial 5 (cm),Did you miss any catches completely? (Select all that apply),pid,lab,word,music
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID9""}","{""ImportId"":""QID3""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID5_2""}","{""ImportId"":""QID5_3""}","{""ImportId"":""QID5_4""}","{""ImportId"":""QID5_5""}","{""ImportId"":""QID6""}","{""ImportId"":""pid""}","{""ImportId"":""lab""}","{""ImportId"":""word""}","{""ImportId"":""music""}"
2026-01-15 10:59:21,2026-01-15 10:59:56,0,23.248.167.39,100,34,1,2026-01-15 10:59:56,R_3WAY6xFXSB5tePT,,,,,40.7126,-74.0066,qr,EN,B1,2,1,226,186,135,181,163,,,,,
2026-01-15 10:59:27,2026-01-15 11:00:27,0,158.223.122.138,100,60,1,2026-01-15 11:00:27,R_8maWHb78SHx5Q64,,,,,51.4781,-0.0279,qr,EN,B2,2,1,10,7,13,17,9,6,,,,
2026-01-15 11:01:17,2026-01-15 11:02:31,0,158.223.122.45,100,73,1,2026-01-15 11:02:31,R_2rHsEwpQQEWStSp,,,,,51.4781,-0.0279,qr,EN,B10,2,1,22cm,28cm,23,26,24,2,,,,
2026-01-15 11:01:37,2026-01-15 11:02:33,0,158.223.122.136,100,56,1,2026-01-15 11:02:34,R_2PgIEwdFrsXieL8,,,,,51.4781,-0.0279,qr,EN,B9,2,1,26,21.5,24,22,29,6,,,,
2026-01-15 11:34:44,2026-01-15 11:35:49,0,158.223.122.203,100,65,1,2026-01-15 11:35:50,R_2zvDMRq8JMQv6Lt,,,,,51.4781,-0.0279,qr,EN,B6,2,1,3,,,26.5,20,"2,3",,,,
2026-01-15 11:36:38,2026-01-15 11:37:49,0,158.223.122.92,100,70,1,2026-01-15 11:37:49,R_8j2UfcVmgoZX7DJ,,,,,51.4781,-0.0279,qr,EN,B5,2,1,,20cm,23cm,25cm,20cm,1,,,,
2026-01-15 11:40:25,2026-01-15 11:42:59,0,82.132.214.23,100,154,1,2026-01-15 11:43:00,R_8cXSfl8LRXFOKmB,,,,,51.4659,-0.2117,qr,EN,6,1,1,12.7,15.2,11.5,5,3.7,6,,,,
2026-01-15 11:42:48,2026-01-15 11:43:41,0,104.28.40.138,100,53,1,2026-01-15 11:43:41,R_8dpjdHmI2asCsEL,,,,,51.3904,-0.0992,qr,EN,3,1,1,15,9.1,10.6,18.5,11.5,6,,,,
2026-01-15 11:40:29,2026-01-15 11:44:12,0,172.226.0.90,100,223,1,2026-01-15 11:44:12,R_2hXuTAWlYeruQdr,,,,,51.5081,-0.1278,qr,EN,5,1,1,miss,26.67,20.82,14.98,12.7,1,,,,
2026-01-15 16:03:50,2026-01-15 16:13:23,0,158.223.122.143,100,572,1,2026-01-15 16:13:23,R_21mBa7NtojoQpZT,,,,,51.4781,-0.0279,anonymous,EN,B7,2,1,,16.5,15,22,13,1,,,,
