StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,participant_id,Q11,time_estimate_sec,time_counting,line_estimates_1,line_estimates_2,string_estimates_1,string_estimates_2,Q12,pid,lab,word,music
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Enter your participant number:,And confirm your Lab Group,The experimenter told you your actual time. Enter it here (in seconds):,Did you count in your head to estimate the time?,Enter your estimates (in cm): - Line A estimate (cm),Enter your estimates (in cm): - Line B estimate (cm),Enter your estimates (in cm): - String 1 estimate (cm),Enter your estimates (in cm): - String 2 estimate (cm),You were asked to estimate the temperature of the room in degrees centigrade/celsius - please input it below.,pid,lab,word,music
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID11""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID6_2""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID8_2""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""pid""}","{""ImportId"":""lab""}","{""ImportId"":""word""}","{""ImportId"":""music""}"
2026-01-15 11:21:51,2026-01-15 11:22:45,0,158.223.122.138,100,54,1,2026-01-15 11:22:46,R_2m2zbFHhCPyncxH,,,,,51.4781,-0.0279,qr,EN,B2,2,40.75,1,9,6,14,21,24,,,,
2026-01-15 11:22:13,2026-01-15 11:23:07,0,23.248.167.39,100,54,1,2026-01-15 11:23:07,R_5AaYFW1Yj161xS1,,,,,40.7126,-74.0066,qr,EN,B1,2,43.39,2,5,3,15,30,21,,,,
2026-01-15 11:36:07,2026-01-15 11:36:58,0,158.223.122.203,100,51,1,2026-01-15 11:36:59,R_2wH3b18OXl6sBTl,,,,,51.4781,-0.0279,qr,EN,B6,2,,1,20,34,25,39,12,,,,
2026-01-15 11:37:52,2026-01-15 11:38:41,0,158.223.122.171,100,48,1,2026-01-15 11:38:41,R_22X3bJfmjPx8krc,,,,,51.4781,-0.0279,qr,EN,B12,2,57.96,1,10,7,22,26,10,,,,
2026-01-15 11:37:58,2026-01-15 11:39:12,0,158.223.122.101,100,74,1,2026-01-15 11:39:12,R_8F8mHJZEnL6FepY,,,,,51.4781,-0.0279,qr,EN,B11,2,56,1,10,7,26,22,11,,,,
2026-01-15 11:38:52,2026-01-15 11:40:11,0,158.223.122.92,100,79,1,2026-01-15 11:40:12,R_8A0eStqwWQLKGBG,,,,,51.4781,-0.0279,qr,EN,B5,2,44,3,23cm,35cm,23,35,19,,,,
2026-01-15 11:41:53,2026-01-15 11:42:31,0,104.28.40.138,100,38,1,2026-01-15 11:42:31,R_2EWq3uWepeFep8y,,,,,51.3904,-0.0992,qr,EN,3,1,56,3,15,7,32,22,23,,,,
2026-01-15 11:41:25,2026-01-15 11:42:53,0,78.86.132.115,100,88,1,2026-01-15 11:42:54,R_8BypNsOQUbVBorA,,,,,53.2558,-1.4292,qr,EN,7A,1,58.4,1,20,10,25,30,15,,,,
2026-01-15 11:43:06,2026-01-15 11:44:14,0,82.132.212.189,100,67,1,2026-01-15 11:44:14,R_8ueCes8W8iCf0EV,,,,,51.4659,-0.2117,qr,EN,A9,1,80,1,10.5,6.5,22,34,24°C,,,,
2026-01-15 11:45:19,2026-01-15 11:46:35,0,172.226.0.90,100,76,1,2026-01-15 11:46:36,R_8jsuhoUBRXjtw1H,,,,,51.5081,-0.1278,qr,EN,A10,1,63,1,10,6,40,25,21,,,,
2026-01-15 11:47:10,2026-01-15 11:49:09,0,158.223.122.45,100,118,1,2026-01-15 11:49:10,R_2FffR4VVdZ5ojq0,,,,,51.4781,-0.0279,qr,EN,B10,2,19,2,8,4,4,5,10,,,,
2026-01-15 11:50:08,2026-01-15 11:50:53,0,158.223.122.136,100,44,1,2026-01-15 11:50:53,R_2FbqKXF4dtMRUnD,,,,,51.4781,-0.0279,qr,EN,B9,2,20,3,8,5,4,6,10,,,,
2026-01-15 16:05:38,2026-01-15 16:06:35,0,158.223.122.143,100,56,1,2026-01-15 16:06:35,R_2FQKgnXCzBBbYDn,,,,,51.4781,-0.0279,anonymous,EN,B7,2,86,1,8,5,15,20,23,,,,
