StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,participant_id,Q24,stare_t1_actual,stare_t1_guess,stare_t1_conf,stare_t2_actual,stare_t2_guess,stare_t2_conf,stare_t3_actual,stare_t3_guess,stare_t3_conf,stare_t4_actual,stare_t4_guess,stare_t4_conf,stare_t5_actual,stare_t5_guess,stare_t5_conf,stare_t6_actual,stare_t6_guess,stare_t6_conf,pid,lab,word,music
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Enter your participant number:,And confirm your Lab Group,Trial 1: Was your partner actually staring at you?,Trial 1: What did YOU guess?,Trial 1: How confident were you in your guess?,Trial 2: Was your partner actually staring at you?,Trial 2: What did YOU guess?,Trial 2: How confident were you in your guess?,Trial 3: Was your partner actually staring at you?,Trial 3: What did YOU guess?,Trial 3: How confident were you in your guess?,Trial 4: Was your partner actually staring at you?,Trial 4: What did YOU guess?,Trial 4: How confident were you in your guess?,Trial 5: Was your partner actually staring at you?,Trial 5: What did YOU guess?,Trial 5: How confident were you in your guess?,Trial 6: Was your partner actually staring at you?,Trial 6: What did YOU guess?,Trial 6: How confident were you in your guess?,pid,lab,word,music
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID24""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""pid""}","{""ImportId"":""lab""}","{""ImportId"":""word""}","{""ImportId"":""music""}"
2026-01-15 11:18:18,2026-01-15 11:20:10,0,158.223.122.45,100,112,1,2026-01-15 11:20:11,R_8Cj3P7HXWPg988P,,,,,51.4781,-0.0279,qr,EN,B10,2,1,2,2,2,1,2,1,2,2,1,2,2,1,2,2,2,1,4,,,,
2026-01-15 11:20:48,2026-01-15 11:22:13,0,158.223.122.136,100,85,1,2026-01-15 11:22:14,R_2brXgLLCPIAJ0qJ,,,,,51.4781,-0.0279,qr,EN,B9,2,2,1,2,2,2,5,2,1,1,1,2,3,1,1,4,2,2,4,,,,
2026-01-15 11:22:55,2026-01-15 11:23:57,0,158.223.122.138,100,61,1,2026-01-15 11:23:57,R_2o0zjsCN89TFmHD,,,,,51.4781,-0.0279,qr,EN,B2,2,1,2,3,2,2,5,1,1,5,2,1,3,2,1,3,1,2,2,,,,
2026-01-15 11:23:17,2026-01-15 11:25:15,0,23.248.167.39,100,118,1,2026-01-15 11:25:15,R_7LHSmt91zCeFtJv,,,,,40.7126,-74.0066,qr,EN,B1,2,1,2,3,2,2,5,2,2,5,1,1,5,2,1,5,2,1,5,,,,
2026-01-15 11:37:16,2026-01-15 11:38:25,0,158.223.122.203,100,69,1,2026-01-15 11:38:26,R_2NmKHh9fuf6H5JC,,,,,51.4781,-0.0279,qr,EN,B6,2,2,1,4,2,1,2,2,2,5,2,2,,2,1,3,2,2,5,,,,
2026-01-15 11:39:08,2026-01-15 11:40:05,0,158.223.122.171,100,57,1,2026-01-15 11:40:05,R_2sjpB8M0YFuegOg,,,,,51.4781,-0.0279,qr,EN,B12,2,1,1,5,1,1,5,2,2,4,1,1,3,2,1,2,2,2,2,,,,
2026-01-15 11:39:23,2026-01-15 11:40:44,0,158.223.122.101,100,81,1,2026-01-15 11:40:44,R_2HSoxvZPTuJV3eT,,,,,51.4781,-0.0279,qr,EN,B11,2,1,1,5,2,1,4,1,1,4,1,2,3,1,2,3,2,1,5,,,,
2026-01-15 11:40:15,2026-01-15 11:41:31,0,158.223.122.92,100,75,1,2026-01-15 11:41:31,R_8hL0l0Rk1zsWeX7,,,,,51.4781,-0.0279,qr,EN,B5,2,2,2,1,1,2,1,2,1,1,2,1,1,1,2,3,1,2,3,,,,
2026-01-15 11:43:15,2026-01-15 11:44:26,0,78.86.132.115,100,71,1,2026-01-15 11:44:26,R_8CK0khoDE1xQ6wZ,,,,,53.2558,-1.4292,qr,EN,7A,1,2,1,4,1,2,4,2,2,5,1,1,4,1,1,4,1,2,3,,,,
2026-01-15 11:45:31,2026-01-15 11:46:38,0,82.132.212.189,100,66,1,2026-01-15 11:46:38,R_81ukKZGreb9Rr7T,,,,,51.4659,-0.2117,qr,EN,A9,1,1,2,4,2,1,3,2,2,4,2,1,2,1,1,4,2,2,4,,,,
2026-01-15 11:46:45,2026-01-15 11:48:35,0,172.226.0.90,100,110,1,2026-01-15 11:48:36,R_8gKjFvrIO4wDCOl,,,,,51.5081,-0.1278,qr,EN,A10,1,2,2,5,1,1,5,1,1,5,2,1,4,1,1,4,1,2,4,,,,
2026-01-15 16:06:40,2026-01-15 16:07:49,0,158.223.122.143,100,69,1,2026-01-15 16:07:50,R_8e5l1uspfaWKD3J,,,,,51.4781,-0.0279,anonymous,EN,B7,2,1,1,4,2,1,3,1,2,5,2,2,3,2,1,2,2,2,3,,,,
