StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,participant_id,Q14,rand_nums_1to10_1,rand_nums_1to10_2,rand_nums_1to10_3,rand_nums_1to10_4,rand_nums_1to10_5,rand_nums_1to10_6,rand_nums_1to10_7,rand_nums_1to10_8,rand_nums_1to10_9,rand_nums_1to10_10,rand_nums_11to20_1,rand_nums_11to20_2,rand_nums_11to20_3,rand_nums_11to20_4,rand_nums_11to20_5,rand_nums_11to20_6,rand_nums_11to20_7,rand_nums_11to20_8,rand_nums_11to20_9,rand_nums_11to20_10,dice_predict,dice_rolls_1,dice_rolls_2,dice_rolls_3,dice_rolls_4,dice_rolls_5,dice_rolls_6,dice_rolls_7,dice_rolls_8,dice_rolls_9,dice_rolls_10,coin_flips_1,coin_flips_2,coin_flips_3,coin_flips_4,coin_flips_5,coin_flips_6,coin_flips_7,coin_flips_8,coin_flips_9,coin_flips_10,coin_longest_run,pid,lab,word,music
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Enter your participant number:,Confirm your lab group,Enter numbers 1-10: - Number 1,Enter numbers 1-10: - Number 2,Enter numbers 1-10: - Number 3,Enter numbers 1-10: - Number 4,Enter numbers 1-10: - Number 5,Enter numbers 1-10: - Number 6,Enter numbers 1-10: - Number 7,Enter numbers 1-10: - Number 8,Enter numbers 1-10: - Number 9,Enter numbers 1-10: - Number 10,Enter numbers 11-20: - Number 11,Enter numbers 11-20: - Number 12,Enter numbers 11-20: - Number 13,Enter numbers 11-20: - Number 14,Enter numbers 11-20: - Number 15,Enter numbers 11-20: - Number 16,Enter numbers 11-20: - Number 17,Enter numbers 11-20: - Number 18,Enter numbers 11-20: - Number 19,Enter numbers 11-20: - Number 20,"Before rolling, did you think you would get more 6s than expected by chance?",What did you roll? - Roll 1,What did you roll? - Roll 2,What did you roll? - Roll 3,What did you roll? - Roll 4,What did you roll? - Roll 5,What did you roll? - Roll 6,What did you roll? - Roll 7,What did you roll? - Roll 8,What did you roll? - Roll 9,What did you roll? - Roll 10,What did you flip? - Flip 1,What did you flip? - Flip 2,What did you flip? - Flip 3,What did you flip? - Flip 4,What did you flip? - Flip 5,What did you flip? - Flip 6,What did you flip? - Flip 7,What did you flip? - Flip 8,What did you flip? - Flip 9,What did you flip? - Flip 10,What was your longest run of the same outcome in a row with the coin toss?,pid,lab,word,music
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID14""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID4_2""}","{""ImportId"":""QID4_3""}","{""ImportId"":""QID4_4""}","{""ImportId"":""QID4_5""}","{""ImportId"":""QID4_6""}","{""ImportId"":""QID4_7""}","{""ImportId"":""QID4_8""}","{""ImportId"":""QID4_9""}","{""ImportId"":""QID4_10""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID5_2""}","{""ImportId"":""QID5_3""}","{""ImportId"":""QID5_4""}","{""ImportId"":""QID5_5""}","{""ImportId"":""QID5_6""}","{""ImportId"":""QID5_7""}","{""ImportId"":""QID5_8""}","{""ImportId"":""QID5_9""}","{""ImportId"":""QID5_10""}","{""ImportId"":""QID6""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID8_2""}","{""ImportId"":""QID8_3""}","{""ImportId"":""QID8_4""}","{""ImportId"":""QID8_5""}","{""ImportId"":""QID8_6""}","{""ImportId"":""QID8_7""}","{""ImportId"":""QID8_8""}","{""ImportId"":""QID8_9""}","{""ImportId"":""QID8_10""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID10_3""}","{""ImportId"":""QID10_4""}","{""ImportId"":""QID10_5""}","{""ImportId"":""QID10_6""}","{""ImportId"":""QID10_7""}","{""ImportId"":""QID10_8""}","{""ImportId"":""QID10_9""}","{""ImportId"":""QID10_10""}","{""ImportId"":""QID11""}","{""ImportId"":""pid""}","{""ImportId"":""lab""}","{""ImportId"":""word""}","{""ImportId"":""music""}"
2026-01-15 11:12:41,2026-01-15 11:16:39,0,172.226.0.89,100,238,1,2026-01-15 11:16:40,R_2fehfWRY5k6F7jd,,,,,51.5081,-0.1278,qr,EN,3,1,9,11,3,6,2,1,8,15,2,4,19,2,53,60,103,10,84,60,3,,2,6,6,6,3,2,4,3,3,1,1,2,2,1,2,1,1,1,2,2,2,5,,,,
2026-01-15 11:13:22,2026-01-15 11:16:57,0,158.223.122.211,100,214,1,2026-01-15 11:16:57,R_2KDap8HUnFQfNoq,,,,,51.4781,-0.0279,qr,EN,1,1,2,4,5,6,10,10,16,20,62,15,13,14,100,200,121,130,116,110,,,1,,1,1,2,2,5,4,1,5,3,2,2,1,1,2,1,2,2,1,1,5,,,,
2026-01-15 11:13:30,2026-01-15 11:18:12,0,172.226.0.88,100,282,1,2026-01-15 11:18:13,R_2TESNjTRTT7E3p1,,,,,51.5081,-0.1278,qr,EN,A2,1,62,19,17,14,20,10,11,17,18,19,59,60,15,1,36,29,47,50,70,,3,6,2,4,5,4,4,3,1,4,6,1,2,2,2,1,2,1,2,1,1,3,,,,
2026-01-15 11:24:08,2026-01-15 11:26:32,0,158.223.122.138,100,144,1,2026-01-15 11:26:32,R_2uF0PCNJpn5rw64,,,,,51.4781,-0.0279,qr,EN,B2,2,9,6,5,8,7,10,1,2,7,6,13,18,15,12,11,20,19,17,16,14,2,1,5,6,1,1,4,1,1,1,4,2,2,2,2,1,1,1,2,2,2,4,,,,
2026-01-15 11:25:33,2026-01-15 11:27:25,0,23.248.167.39,100,112,1,2026-01-15 11:27:25,R_5Lpnq3v2GZMccYV,,,,,40.7126,-74.0066,qr,EN,B1,2,9,6,5,8,7,10,1,2,7,6,,,,,,,,,,,2,4,3,2,2,6,6,5,4,5,5,1,1,2,2,1,1,2,1,2,2,2,,,,
2026-01-15 11:32:09,2026-01-15 11:36:57,0,158.223.122.45,100,288,1,2026-01-15 11:36:57,R_2eWqsGgaTk0tPFt,,,,,51.4781,-0.0279,qr,EN,B10,2,9,3,5,6,8,10,4,7,6,4,1,7,8,10,9,8,7,6,2,3,2,5,6,4,4,6,6,6,5,6,1,2,2,1,1,2,1,1,2,2,2,2,,,,
2026-01-15 11:32:35,2026-01-15 11:37:52,0,158.223.122.136,100,316,1,2026-01-15 11:37:52,R_8Qg4LzLk7rjEzOL,,,,,51.4781,-0.0279,qr,EN,B9,2,3,"6 ","4 ","8 ",9,"7 ",10,2,4,"5 ",3,7,"8 ","9 ",1,3,"5 ",4,"9 ",2,2,2,1,6,1,5,6,3,1,1,4,2,1,1,2,2,1,2,1,1,1,3,,,,
2026-01-15 11:38:52,2026-01-15 11:41:19,0,158.223.122.203,100,146,1,2026-01-15 11:41:20,R_8PRSnzlzQpK7dIO,,,,,51.4781,-0.0279,qr,EN,B6,,5,4,1,6,8,10,5,8,9,3,1,2,4,3,7,6,10,9,8,6,2,2,1,6,3,5,3,4,1,4,4,1,1,1,1,2,1,2,1,1,2,4,,,,
2026-01-15 11:40:20,2026-01-15 11:42:01,0,158.223.122.171,100,101,1,2026-01-15 11:42:02,R_2gG52usdTQqD0Ws,,,,,51.4781,-0.0279,qr,EN,B12,2,4,7,6,5,10,1,2,3,6,9,8,7,3,2,9,4,3,5,6,8,1,4,3,1,4,4,1,1,3,2,5,1,1,2,1,1,1,1,2,2,2,4,,,,
