StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,participant_id,Q10,throw_self_rating_1,throw_dom_hand,throw_dom_success,throw_nondom_attempted,throw_nondom_success,pid,lab,word,music
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Enter your participant number:,confirm your lab group,BEFORE throwing: How would you rate your throwing ability? - Throwing ability,Which is your dominant hand (the one you most naturally throw with)?,"How many balls did you get in the basket? (out of 10, dominant hand)",Did you also try throwing with your non-dominant hand?,How many did you get in with your non-dominant hand? (out of 5),pid,lab,word,music
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID10""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""pid""}","{""ImportId"":""lab""}","{""ImportId"":""word""}","{""ImportId"":""music""}"
2026-01-15 11:06:45,2026-01-15 11:07:13,0,158.223.122.77,100,28,1,2026-01-15 11:07:13,R_8houOq66sa7J3Ou,,,,,51.4781,-0.0279,qr,EN,B3,2,7,1,3,1,3,,,,
2026-01-15 11:06:41,2026-01-15 11:07:14,0,172.226.0.94,100,33,1,2026-01-15 11:07:15,R_8TQsoICZDInvRqV,,,,,51.5081,-0.1278,qr,EN,B4,2,7,1,5,1,1,,,,
2026-01-15 11:16:54,2026-01-15 11:17:22,0,172.226.0.88,100,27,1,2026-01-15 11:17:23,R_8oReNhw48aZPMte,,,,,51.5081,-0.1278,qr,EN,3,1,5,2,5,1,2,,,,
2026-01-15 11:18:23,2026-01-15 11:19:06,0,172.226.134.66,100,42,1,2026-01-15 11:19:06,R_2qyRwuXuqzjgSt5,,,,,51.5081,-0.1278,qr,EN,A2,1,4,1,4,1,2,,,,
2026-01-15 11:26:47,2026-01-15 11:27:13,0,158.223.122.138,100,25,1,2026-01-15 11:27:14,R_2N48NGF1FEAVb11,,,,,51.4781,-0.0279,qr,EN,B2,2,1,1,3,1,2,,,,
2026-01-15 11:27:33,2026-01-15 11:28:04,0,23.248.167.39,100,30,1,2026-01-15 11:28:04,R_7kHX3571M81rwLh,,,,,40.7126,-74.0066,qr,EN,B1,2,6,1,6,1,2,,,,
2026-01-15 11:41:30,2026-01-15 11:42:23,0,158.223.122.203,100,53,1,2026-01-15 11:42:24,R_2M9vAOsiSt1F1ol,,,,,51.4781,-0.0279,qr,EN,B6,2,3,1,3,1,4,,,,
2026-01-15 11:42:27,2026-01-15 11:43:16,0,158.223.122.171,100,48,1,2026-01-15 11:43:16,R_2EEiC6c5nfACCdP,,,,,51.4781,-0.0279,qr,EN,B12,2,4,1,8,1,4,,,,
2026-01-15 11:41:08,2026-01-15 11:43:33,0,158.223.122.136,100,145,1,2026-01-15 11:43:33,R_8SfxbKHDSItIYd8,,,,,51.4781,-0.0279,qr,EN,B9,2,5,1,7,1,2,,,,
2026-01-15 11:38:35,2026-01-15 11:43:41,0,158.223.122.92,100,306,1,2026-01-15 11:43:42,R_8Hnn7hqwfxBF0PJ,,,,,51.4781,-0.0279,qr,EN,B5,2,4,1,6,1,2,,,,
2026-01-15 11:45:55,2026-01-15 11:46:37,0,158.223.122.45,100,41,1,2026-01-15 11:46:37,R_2jVUOtWnkxfoGWt,,,,,51.4781,-0.0279,qr,EN,B10,2,3,1,6,2,,,,,
2026-01-15 11:47:29,2026-01-15 11:47:55,0,78.86.132.115,100,25,1,2026-01-15 11:47:56,R_8G02eA9oHr20ob7,,,,,53.2558,-1.4292,qr,EN,7A,1,3,1,6,1,2,,,,
2026-01-15 11:51:30,2026-01-15 11:51:57,0,172.226.0.90,100,27,1,2026-01-15 11:51:58,R_8ZPSOqFy6TU7Is1,,,,,51.5081,-0.1278,qr,EN,A10,1,8,1,10,1,3,,,,
2026-01-15 16:10:13,2026-01-15 16:10:56,0,158.223.122.143,100,43,1,2026-01-15 16:10:56,R_2OPB3Z6yKZ6Gp30,,,,,51.4781,-0.0279,anonymous,EN,B7,2,4,1,5,2,,,,,
