Participant,Condition,Age,Gender,Words_Recalled
1,BM,32,M,6
2,BM,32,F,5
3,BM,33,F,7
4,BM,18,F,8
5,BM,29,M,4
6,BM,22,F,7
7,BM,19,M,4
8,BM,19,M,6
9,BM,40,F,5
10,BM,25,F,6
11,BM,28,F,2
12,BM,38,F,6
13,BM,28,M,6
14,BM,23,F,3
15,BM,26,M,8
16,BM,19,F,5
17,BM,33,F,5
18,BM,23,F,4
19,BM,23,F,7
20,BM,32,F,5
21,BM,39,M,8
22,BM,36,M,3
23,NBM,23,M,3
24,NBM,38,F,2
25,NBM,31,M,6
26,NBM,37,F,1
27,NBM,20,F,2
28,NBM,25,F,5
29,NBM,35,M,7
30,NBM,35,NB,5
31,NBM,32,M,2
32,NBM,28,F,4
33,NBM,35,F,5
34,NBM,30,F,5
35,NBM,21,F,6
36,NBM,27,F,2
37,NBM,39,M,8
38,NBM,37,M,3
39,NBM,24,F,3
40,NBM,38,M,6
41,NBM,34,F,6
42,NBM,18,F,4
43,NBM,23,F,1
44,NBM,36,F,1
