Participant,Group,Age,Gender,Score
1,WPhone,18,M,0
2,WPhone,22,M,8
3,WPhone,31,F,2
4,WPhone,26,M,6
5,WPhone,19,F,4
6,WPhone,27,M,13
7,WPhone,27,F,9
8,WPhone,32,F,9
9,WPhone,21,F,1
10,WPhone,32,M,1
11,WPhone,19,F,1
12,WPhone,25,M,7
13,WPhone,31,M,8
14,WPhone,30,F,3
15,WPhone,27,M,2
16,WPhone,28,M,13
17,WPhone,18,F,9
18,WPhone,24,F,9
19,WPhone,22,F,14
20,WPhone,32,F,11
21,WPhone,28,M,3
22,WPhone,23,F,2
23,XPhone,31,M,10
24,XPhone,28,M,10
25,XPhone,25,M,8
26,XPhone,21,F,8
27,XPhone,21,M,8
28,XPhone,24,F,10
29,XPhone,20,F,10
30,XPhone,26,M,11
31,XPhone,19,M,10
32,XPhone,26,F,9
33,XPhone,31,F,11
34,XPhone,25,M,12
35,XPhone,22,F,9
36,XPhone,24,M,11
37,XPhone,26,F,7
38,XPhone,23,M,10
39,XPhone,30,F,8
40,XPhone,31,M,11
41,XPhone,22,F,9
42,XPhone,32,M,10
43,XPhone,30,F,8
44,XPhone,25,F,9
