Participant,Condition,Age,Gender,Words_Recalled
1,Yellow,23,M,5
2,Yellow,20,M,6
3,Yellow,22,F,4
4,Yellow,33,F,4
5,Yellow,31,M,3
6,Yellow,31,M,3
7,Yellow,27,M,5
8,Yellow,34,M,6
9,Yellow,27,M,6
10,Yellow,20,M,5
11,Yellow,23,F,6
12,Yellow,18,F,5
13,Yellow,26,F,5
14,Yellow,27,F,4
15,Yellow,22,F,7
16,Yellow,35,M,5
17,Yellow,20,M,5
18,Yellow,29,M,3
19,Yellow,30,M,4
20,Yellow,18,F,3
21,Yellow,26,F,5
22,Yellow,34,F,4
23,Grey,32,M,10
24,Grey,33,F,8
25,Grey,35,F,9
26,Grey,18,M,8
27,Grey,29,M,5
28,Grey,35,F,9
29,Grey,31,M,8
30,Grey,19,M,9
31,Grey,22,M,8
32,Grey,35,F,9
33,Grey,25,M,9
34,Grey,33,F,10
35,Grey,30,M,9
36,Grey,27,M,9
37,Grey,22,F,7
38,Grey,30,M,10
39,Grey,22,F,7
40,Grey,30,M,7
41,Grey,30,F,7
42,Grey,30,F,9
43,Grey,33,M,7
44,Grey,30,F,10
