Participant,Sleep_group,Age,Gender,Identification_accuracy
1,Low,27,F,2
2,Low,34,F,3
3,Low,24,F,5
4,Low,30,F,1
5,Low,29,F,2
6,Low,22,M,2
7,Low,24,F,4
8,Low,35,F,4
9,Low,18,F,4
10,Low,19,NB,1
11,Low,30,F,1
12,Low,25,NB,1
13,Low,33,F,3
14,Low,19,M,4
15,Low,25,F,5
16,Low,32,F,3
17,Low,33,F,3
18,Low,18,F,5
19,Low,18,M,3
20,Low,32,F,2
21,Low,25,F,4
22,Low,28,M,2
23,High,30,M,5
24,High,35,F,4
25,High,27,F,5
26,High,28,M,1
27,High,18,F,4
28,High,29,F,5
29,High,28,F,1
30,High,26,F,4
31,High,24,M,4
32,High,21,F,5
33,High,19,F,5
34,High,18,F,3
35,High,20,F,5
36,High,21,F,2
37,High,34,M,2
38,High,21,M,5
39,High,30,F,5
40,High,31,F,5
41,High,30,F,5
42,High,32,M,3
43,High,29,F,5
44,High,21,F,5
