consent,participant_id,lab_room,sleep_hours,sleep_quality_1,caffeine_today,exercise_week,screen_estimate,mood_pre_1,energy_pre_1,stress_pre_1,tipi_1,tipi_2,tipi_3,tipi_4,tipi_5,tipi_6,tipi_7,tipi_8,tipi_9,tipi_10,age,gender,handedness,vision,pid,lab,word,music
1,B01,2,7,2,2,0,13,7,5,3,4.0,5.0,5,6,4,3,6,3,5,4,33.0,2,1,1.0,,,,
1,B05,2,6,4,5,3 days,10 hours,3,4,5,2.0,3.0,2,6,3,7,5,7,3,3,20.0,3,1,1.0,,,,
1,B04,2,8.5,3,0,3,4,7,5,4,5.0,2.0,5,4,3,5,7,2,4,5,20.0,1,1,1.0,,,,
1,B02,2,9,3,3,5,5,7,4,5,4.0,4.0,4,5,6,5,6,7,4,1,34.0,2,1,1.0,,,,
1,B09,2,6.5,3,0,3,6,5,5,5,2.0,4.0,5,5,5,6,6,4,5,4,18.0,1,1,1.0,,,,
1,A04,1,,4,0,2,6 hours,5,5,1,3.0,2.0,5,5,5,7,5,5,5,1,,1,1,1.0,,,,
1,A03,1,5 hours ,3,0,2x,8hrs,3,4,9,4.0,3.0,5,5,5,4,6,4,3,4,,1,2,1.0,,,,
1,B11,2,5,2,0,3,10,7,3,2,6.0,4.0,5,5,5,3,6,6,4,5,19.0,2,1,1.0,,,,
1,B12,2,4 ,3,1,0,10,8,7,9,6.0,4.0,5,5,3,6,6,5,3,2,,1,1,2.0,,,,
1,A01,1,7,3,0,0,7,5,4,7,6.0,5.0,4,1,7,1,5,2,5,1,18.0,1,1,1.0,,,,
1,B03,2,5.5,2,0,3,7,4,3,7,7.0,5.0,3,7,5,5,7,5,1,2,18.0,1,1,1.0,,,,
1,A02,1,6,4,0,1,14,7,6,9,3.0,5.0,3,4,7,7,6,4,6,4,23.0,1,1,2.0,,,,
1,A09,1,5.5,3,1,1,12 ,7,6,5,5.0,4.0,5,6,6,4,5,4,4,4,21.0,3,1,1.0,,,,
1,A07,1,8,4,2,4,9,5,3,5,3.0,4.0,5,6,4,3,5,5,4,4,21.0,1,1,2.0,,,,
1,A05,1,,5,2,1,8,10,8,2,4.0,5.0,5,3,5,6,6,3,5,4,,1,1,1.0,,,,
1,B08,2,4,3,0,6,4,6,2,2,6.0,5.0,5,5,3,3,5,5,3,2,18.0,1,1,,,,,
1,B07,2,8.5,4,0,0,12,7,4,3,2.0,2.0,4,5,4,6,6,3,3,4,19.0,1,1,1.0,,,,
1,A10,1,8,3,1,5,7,6,5,6,4.0,4.0,5,7,5,4,6,3,5,2,21.0,1,1,1.0,,,,
