participant_id,Q11,mem_total_1,mem_positions_1,mem_positions_2,mem_positions_3,mem_positions_4,mem_positions_5,mem_positions_6,mem_positions_7,mem_positions_8,mem_positions_9,mem_positions_10,mem_intrusions_1,mem_strategy,mem_list_side,pid,lab,word,music
A03,1,5,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1,"First letters 
First part of word ",1,,,,
A07,1,3,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3,Repeated each word 3 times ,1,,,,
A04,1,6,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,Associating some words with certain categories ,2,,,,
A01,1,6,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0,Try remember the first word ,1,,,,
A02,1,6,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,1,I tired to count the words with my fingers ,2,,,,
A06,1,7,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2,Tried using a song,2,,,,
A05,1,7,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0,grouping and what stood out to me,1,,,,
B01,2,6,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,"River, mountain and flower I imagined a valley with a river mountains and flowers.",1,,,,
B02,2,6,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,"Visualise the words as the specific objects, only worked for the first 3 words",2,,,,
B07,2,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,i made associations between the words in my head,1,,,,
B06,2,8,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,0,,1,,,,
B10,2,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0,,2,,,,
B12,2,3,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1,"I tried to remember the first and second letter on each word, only remembering the first 7 words. ",2,,,,
B11,2,8,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0,Repeated the words as a I read them,1,,,,
B05,2,9,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,"Put words in scenarios or pair them together to make more sense. Chair in the river, flower book",1,,,,
B13,2,7,1.0,1.0,1.0,1.0,3.0,3.0,,2.0,2.0,2.0,0,Repeating ,1,,,,
B04,2,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,No,2,,,,
B03,2,8,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,using songs to remember (rhymes and some of the words linked to a song I was listening to in the morning),1,,,,
A09,1,8,,,,,,,,,,,0,tried grouping the words together,1,,,,
B09,2,6,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0,,1,,,,
