participant_id,Q11,time_estimate_sec,time_counting,line_estimates_1,line_estimates_2,string_estimates_1,string_estimates_2,Q12,pid,lab,word,music
B02,2,40.75,1,9,6,14,21,24,,,,
B01,2,43.39,2,5,3,15,30,21,,,,
B06,2,,1,20,34,25,39,12,,,,
B12,2,57.96,1,10,7,22,26,10,,,,
B11,2,56.0,1,10,7,26,22,11,,,,
B05,2,44.0,3,23cm,35cm,23,35,19,,,,
A07,1,58.4,1,20,10,25,30,15,,,,
A09,1,80.0,1,10.5,6.5,22,34,24°C,,,,
A10,1,63.0,1,10,6,40,25,21,,,,
B10,2,19.0,2,8,4,4,5,10,,,,
B09,2,20.0,3,8,5,4,6,10,,,,
B07,2,86.0,1,8,5,15,20,23,,,,
