participant_id,Q24,stare_t1_actual,stare_t1_guess,stare_t1_conf,stare_t2_actual,stare_t2_guess,stare_t2_conf,stare_t3_actual,stare_t3_guess,stare_t3_conf,stare_t4_actual,stare_t4_guess,stare_t4_conf,stare_t5_actual,stare_t5_guess,stare_t5_conf,stare_t6_actual,stare_t6_guess,stare_t6_conf,pid,lab,word,music
B10,2,1,2,2,2,1,2,1,2,2,1,2,2.0,1,2,2,2,1,4,,,,
B09,2,2,1,2,2,2,5,2,1,1,1,2,3.0,1,1,4,2,2,4,,,,
B02,2,1,2,3,2,2,5,1,1,5,2,1,3.0,2,1,3,1,2,2,,,,
B01,2,1,2,3,2,2,5,2,2,5,1,1,5.0,2,1,5,2,1,5,,,,
B06,2,2,1,4,2,1,2,2,2,5,2,2,,2,1,3,2,2,5,,,,
B12,2,1,1,5,1,1,5,2,2,4,1,1,3.0,2,1,2,2,2,2,,,,
B11,2,1,1,5,2,1,4,1,1,4,1,2,3.0,1,2,3,2,1,5,,,,
B05,2,2,2,1,1,2,1,2,1,1,2,1,1.0,1,2,3,1,2,3,,,,
A07,1,2,1,4,1,2,4,2,2,5,1,1,4.0,1,1,4,1,2,3,,,,
A09,1,1,2,4,2,1,3,2,2,4,2,1,2.0,1,1,4,2,2,4,,,,
A10,1,2,2,5,1,1,5,1,1,5,2,1,4.0,1,1,4,1,2,4,,,,
B07,2,1,1,4,2,1,3,1,2,5,2,2,3.0,2,1,2,2,2,3,,,,
