participant_id,Q14,rand_nums_1to10_1,rand_nums_1to10_2,rand_nums_1to10_3,rand_nums_1to10_4,rand_nums_1to10_5,rand_nums_1to10_6,rand_nums_1to10_7,rand_nums_1to10_8,rand_nums_1to10_9,rand_nums_1to10_10,rand_nums_11to20_1,rand_nums_11to20_2,rand_nums_11to20_3,rand_nums_11to20_4,rand_nums_11to20_5,rand_nums_11to20_6,rand_nums_11to20_7,rand_nums_11to20_8,rand_nums_11to20_9,rand_nums_11to20_10,dice_predict,dice_rolls_1,dice_rolls_2,dice_rolls_3,dice_rolls_4,dice_rolls_5,dice_rolls_6,dice_rolls_7,dice_rolls_8,dice_rolls_9,dice_rolls_10,coin_flips_1,coin_flips_2,coin_flips_3,coin_flips_4,coin_flips_5,coin_flips_6,coin_flips_7,coin_flips_8,coin_flips_9,coin_flips_10,coin_longest_run,pid,lab,word,music
A01,1.0,2.0,4.0,5.0,6.0,10.0,10.0,,,,,,,,,,,,,,,1,,1,1,2,2,5,4,1,5,3,2,2,1,1,2,1,2,2,1,1,5,,,,
A02,1.0,,,,,,10.0,,,,,,,,1.0,,,,,,,3,6.0,2,4,5,4,4,3,1,4,6,1,2,2,2,1,2,1,2,1,1,3,,,,
B02,2.0,9.0,6.0,5.0,8.0,7.0,10.0,1.0,2.0,7.0,6.0,,,,,,,,,,,2,1.0,5,6,1,1,4,1,1,1,4,2,2,2,2,1,1,1,2,2,2,4,,,,
B01,2.0,9.0,6.0,5.0,8.0,7.0,10.0,1.0,2.0,7.0,6.0,,,,,,,,,,,2,4.0,3,2,2,6,6,5,4,5,5,1,1,2,2,1,1,2,1,2,2,2,,,,
B10,2.0,9.0,3.0,5.0,6.0,8.0,10.0,4.0,7.0,6.0,4.0,1.0,7.0,8.0,10.0,9.0,8.0,7.0,6.0,2.0,3.0,2,5.0,6,4,4,6,6,6,5,6,1,2,2,1,1,2,1,1,2,2,2,2,,,,
B09,2.0,3.0,6.0,4.0,8.0,9.0,7.0,10.0,2.0,4.0,5.0,3.0,7.0,8.0,9.0,1.0,3.0,5.0,4.0,9.0,2.0,2,2.0,1,6,1,5,6,3,1,1,4,2,1,1,2,2,1,2,1,1,1,3,,,,
B06,,5.0,4.0,1.0,6.0,8.0,10.0,5.0,8.0,9.0,3.0,1.0,2.0,4.0,3.0,7.0,6.0,10.0,9.0,8.0,6.0,2,2.0,1,6,3,5,3,4,1,4,4,1,1,1,1,2,1,2,1,1,2,4,,,,
B12,2.0,4.0,7.0,6.0,5.0,10.0,1.0,2.0,3.0,6.0,9.0,8.0,7.0,3.0,2.0,9.0,4.0,3.0,5.0,6.0,8.0,1,4.0,3,1,4,4,1,1,3,2,5,1,1,2,1,1,1,1,2,2,2,4,,,,
B05,2.0,4.0,2.0,8.0,10.0,7.0,6.0,2.0,4.0,1.0,9.0,8.0,6.0,3.0,1.0,2.0,7.0,4.0,8.0,9.0,2.0,2,6.0,4,2,6,4,4,4,6,4,6,1,1,1,2,2,2,1,2,1,2,3,,,,
A07,1.0,2.0,4.0,6.0,8.0,8.0,6.0,3.0,9.0,7.0,1.0,3.0,9.0,1.0,10.0,7.0,8.0,6.0,5.0,3.0,2.0,3,3.0,4,1,3,6,2,1,5,3,4,2,1,2,2,2,1,1,1,1,1,5,,,,
A09,1.0,4.0,7.0,2.0,3.0,1.0,8.0,6.0,5.0,9.0,3.0,10.0,8.0,6.0,5.0,1.0,7.0,3.0,9.0,2.0,7.0,1,4.0,3,2,4,6,4,4,1,5,2,1,1,2,1,1,2,1,1,2,1,2,,,,
B11,2.0,3.0,6.0,5.0,1.0,2.0,4.0,4.0,5.0,5.0,6.0,4.0,5.0,2.0,1.0,6.0,4.0,5.0,3.0,2.0,6.0,2,6.0,3,1,4,3,5,5,4,1,5,2,1,2,2,1,2,1,1,2,1,2,,,,
A10,1.0,3.0,6.0,9.0,2.0,1.0,5.0,6.0,8.0,7.0,2.0,3.0,1.0,4.0,8.0,9.0,3.0,10.0,2.0,4.0,6.0,1,3.0,1,5,4,3,1,5,3,3,5,1,1,1,2,1,2,2,2,2,2,5,,,,
B07,2.0,3.0,5.0,2.0,1.0,6.0,7.0,8.0,2.0,4.0,10.0,1.0,3.0,7.0,5.0,9.0,8.0,6.0,2.0,4.0,1.0,3,6.0,5,2,5,6,1,1,5,1,4,2,1,2,2,1,1,1,2,1,2,3,,,,
