consent,participant_id,lab_room,sleep_hours,sleep_quality_1,caffeine_today,exercise_week,screen_estimate,mood_pre_1,energy_pre_1,stress_pre_1,tipi_1,tipi_2,tipi_3,tipi_4,tipi_5,tipi_6,tipi_7,tipi_8,tipi_9,tipi_10,age,gender,handedness,vision,pid,lab,word,music,post_Q13,post_mood_post_1,post_energy_post_1,post_stress_post_1,post_enjoyed_overall_1,post_fav_task,post_least_fav_task,post_comments,memory_mem_total_1,memory_mem_positions_1,memory_mem_positions_2,memory_mem_positions_3,memory_mem_positions_4,memory_mem_positions_5,memory_mem_positions_6,memory_mem_positions_7,memory_mem_positions_8,memory_mem_positions_9,memory_mem_positions_10,memory_mem_intrusions_1,memory_mem_strategy,memory_mem_list_side,task1_reflex_Q9,task1_reflex_rt_hand,task1_reflex_rt_trials_1,task1_reflex_rt_trials_2,task1_reflex_rt_trials_3,task1_reflex_rt_trials_4,task1_reflex_rt_trials_5,task1_reflex_rt_missed,task2_timewarp_time_estimate_sec,task2_timewarp_time_counting,task2_timewarp_line_estimates_1,task2_timewarp_line_estimates_2,task2_timewarp_string_estimates_1,task2_timewarp_string_estimates_2,task2_timewarp_Q12,task3_sixthsense_Q24,task3_sixthsense_stare_t1_actual,task3_sixthsense_stare_t1_guess,task3_sixthsense_stare_t1_conf,task3_sixthsense_stare_t2_actual,task3_sixthsense_stare_t2_guess,task3_sixthsense_stare_t2_conf,task3_sixthsense_stare_t3_actual,task3_sixthsense_stare_t3_guess,task3_sixthsense_stare_t3_conf,task3_sixthsense_stare_t4_actual,task3_sixthsense_stare_t4_guess,task3_sixthsense_stare_t4_conf,task3_sixthsense_stare_t5_actual,task3_sixthsense_stare_t5_guess,task3_sixthsense_stare_t5_conf,task3_sixthsense_stare_t6_actual,task3_sixthsense_stare_t6_guess,task3_sixthsense_stare_t6_conf,task4_ladyluck_Q14,task4_ladyluck_rand_nums_1to10_1,task4_ladyluck_rand_nums_1to10_2,task4_ladyluck_rand_nums_1to10_3,task4_ladyluck_rand_nums_1to10_4,task4_ladyluck_rand_nums_1to10_5,task4_ladyluck_rand_nums_1to10_6,task4_ladyluck_rand_nums_1to10_7,task4_ladyluck_rand_nums_1to10_8,task4_ladyluck_rand_nums_1to10_9,task4_ladyluck_rand_nums_1to10_10,task4_ladyluck_rand_nums_11to20_1,task4_ladyluck_rand_nums_11to20_2,task4_ladyluck_rand_nums_11to20_3,task4_ladyluck_rand_nums_11to20_4,task4_ladyluck_rand_nums_11to20_5,task4_ladyluck_rand_nums_11to20_6,task4_ladyluck_rand_nums_11to20_7,task4_ladyluck_rand_nums_11to20_8,task4_ladyluck_rand_nums_11to20_9,task4_ladyluck_rand_nums_11to20_10,task4_ladyluck_dice_predict,task4_ladyluck_dice_rolls_1,task4_ladyluck_dice_rolls_2,task4_ladyluck_dice_rolls_3,task4_ladyluck_dice_rolls_4,task4_ladyluck_dice_rolls_5,task4_ladyluck_dice_rolls_6,task4_ladyluck_dice_rolls_7,task4_ladyluck_dice_rolls_8,task4_ladyluck_dice_rolls_9,task4_ladyluck_dice_rolls_10,task4_ladyluck_coin_flips_1,task4_ladyluck_coin_flips_2,task4_ladyluck_coin_flips_3,task4_ladyluck_coin_flips_4,task4_ladyluck_coin_flips_5,task4_ladyluck_coin_flips_6,task4_ladyluck_coin_flips_7,task4_ladyluck_coin_flips_8,task4_ladyluck_coin_flips_9,task4_ladyluck_coin_flips_10,task4_ladyluck_coin_longest_run,task5_frontallob_Q10,task5_frontallob_throw_self_rating_1,task5_frontallob_throw_dom_hand,task5_frontallob_throw_dom_success,task5_frontallob_throw_nondom_attempted,task5_frontallob_throw_nondom_success
1,B01,2,7,2,2,0,13,7,5,3,4.0,5.0,5,6,4,3,6,3,5,4,33.0,2,1,1.0,,,,,2.0,7.0,5.0,4.0,9.0,5.0,1.0,,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,"River, mountain and flower I imagined a valley with a river mountains and flowers.",1.0,2.0,1.0,226.0,186.0,135.0,181.0,163.0,,43.39,2.0,5,3,15.0,30.0,21,2.0,1.0,2.0,3.0,2.0,2.0,5.0,2.0,2.0,5.0,1.0,1.0,5.0,2.0,1.0,5.0,2.0,1.0,5.0,2.0,9.0,6.0,5.0,8.0,7.0,10.0,1.0,2.0,7.0,6.0,,,,,,,,,,,2.0,4.0,3.0,2.0,2.0,6.0,6.0,5.0,4.0,5.0,5.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,6.0,1.0,6.0,1.0,2.0
1,B05,2,6,4,5,3 days,10 hours,3,4,5,2.0,3.0,2,6,3,7,5,7,3,3,20.0,3,1,1.0,,,,,2.0,4.0,4.0,7.0,6.0,2.0,3.0,,9.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,"Put words in scenarios or pair them together to make more sense. Chair in the river, flower book",1.0,2.0,1.0,,20.0,23.0,25.0,20.0,1,44.0,3.0,23cm,35cm,23.0,35.0,19,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0,2.0,4.0,2.0,8.0,10.0,7.0,6.0,2.0,4.0,1.0,9.0,8.0,6.0,3.0,1.0,2.0,7.0,4.0,8.0,9.0,2.0,2.0,6.0,4.0,2.0,6.0,4.0,4.0,4.0,6.0,4.0,6.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,4.0,1.0,6.0,1.0,2.0
1,B04,2,8.5,3,0,3,4,7,5,4,5.0,2.0,5,4,3,5,7,2,4,5,20.0,1,1,1.0,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,No,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,7.0,1.0,5.0,1.0,1.0
1,B02,2,9,3,3,5,5,7,4,5,4.0,4.0,4,5,6,5,6,7,4,1,34.0,2,1,1.0,,,,,2.0,6.0,5.0,5.0,5.0,1.0,6.0,,6.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,"Visualise the words as the specific objects, only worked for the first 3 words",2.0,2.0,1.0,10.0,7.0,13.0,17.0,9.0,6,40.75,1.0,9,6,14.0,21.0,24,2.0,1.0,2.0,3.0,2.0,2.0,5.0,1.0,1.0,5.0,2.0,1.0,3.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,9.0,6.0,5.0,8.0,7.0,10.0,1.0,2.0,7.0,6.0,,,,,,,,,,,2.0,1.0,5.0,6.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,2.0,1.0,1.0,3.0,1.0,2.0
1,B09,2,6.5,3,0,3,6,5,5,5,2.0,4.0,5,5,5,6,6,4,5,4,18.0,1,1,1.0,,,,,2.0,5.0,4.0,4.0,4.0,2.0,6.0,,6.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,,1.0,2.0,1.0,26.0,21.5,24.0,22.0,29.0,6,20.0,3.0,8,5,4.0,6.0,10,2.0,2.0,1.0,2.0,2.0,2.0,5.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,4.0,2.0,2.0,4.0,2.0,3.0,6.0,4.0,8.0,9.0,7.0,10.0,2.0,4.0,5.0,3.0,7.0,8.0,9.0,1.0,3.0,5.0,4.0,9.0,2.0,2.0,2.0,1.0,6.0,1.0,5.0,6.0,3.0,1.0,1.0,4.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,5.0,1.0,7.0,1.0,2.0
1,A04,1,,4,0,2,6 hours,5,5,1,3.0,2.0,5,5,5,7,5,5,5,1,,1,1,1.0,,,,,1.0,10.0,8.0,1.0,10.0,6.0,1.0,,6.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,Associating some words with certain categories ,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A03,1,5 hours ,3,0,2x,8hrs,3,4,9,4.0,3.0,5,5,5,4,6,4,3,4,,1,2,1.0,,,,,,,,,,,,,5.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,"First letters 
First part of word ",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,2.0,5.0,1.0,2.0
1,B11,2,5,2,0,3,10,7,3,2,6.0,4.0,5,5,5,3,6,6,4,5,19.0,2,1,1.0,,,,,,,,,,,,,8.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,Repeated the words as a I read them,1.0,,,,,,,,,56.0,1.0,10,7,26.0,22.0,11,2.0,1.0,1.0,5.0,2.0,1.0,4.0,1.0,1.0,4.0,1.0,2.0,3.0,1.0,2.0,3.0,2.0,1.0,5.0,2.0,3.0,6.0,5.0,1.0,2.0,4.0,4.0,5.0,5.0,6.0,4.0,5.0,2.0,1.0,6.0,4.0,5.0,3.0,2.0,6.0,2.0,6.0,3.0,1.0,4.0,3.0,5.0,5.0,4.0,1.0,5.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,,,,,,
1,B12,2,4 ,3,1,0,10,8,7,9,6.0,4.0,5,5,3,6,6,5,3,2,,1,1,2.0,,,,,,,,,,,,,3.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,"I tried to remember the first and second letter on each word, only remembering the first 7 words. ",2.0,,,,,,,,,57.96,1.0,10,7,22.0,26.0,10,2.0,1.0,1.0,5.0,1.0,1.0,5.0,2.0,2.0,4.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,7.0,6.0,5.0,10.0,1.0,2.0,3.0,6.0,9.0,8.0,7.0,3.0,2.0,9.0,4.0,3.0,5.0,6.0,8.0,1.0,4.0,3.0,1.0,4.0,4.0,1.0,1.0,3.0,2.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,2.0,4.0,1.0,8.0,1.0,4.0
1,A01,1,7,3,0,0,7,5,4,7,6.0,5.0,4,1,7,1,5,2,5,1,18.0,1,1,1.0,,,,,,,,,,,,,6.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,Try remember the first word ,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,4.0,5.0,6.0,10.0,10.0,,,,,,,,,,,,,,,1.0,,1.0,1.0,2.0,2.0,5.0,4.0,1.0,5.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,5.0,,,,,,
1,B03,2,5.5,2,0,3,7,4,3,7,7.0,5.0,3,7,5,5,7,5,1,2,18.0,1,1,1.0,,,,,,,,,,,,,8.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,using songs to remember (rhymes and some of the words linked to a song I was listening to in the morning),1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,7.0,1.0,3.0,1.0,3.0
1,A02,1,6,4,0,1,14,7,6,9,3.0,5.0,3,4,7,7,6,4,6,4,23.0,1,1,2.0,,,,,1.0,9.0,7.0,7.0,10.0,1.0,5.0,,6.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,1.0,I tired to count the words with my fingers ,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,10.0,,,,,,,,1.0,,,,,,,3.0,6.0,2.0,4.0,5.0,4.0,4.0,3.0,1.0,4.0,6.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,4.0,1.0,4.0,1.0,2.0
1,A09,1,5.5,3,1,1,12 ,7,6,5,5.0,4.0,5,6,6,4,5,4,4,4,21.0,3,1,1.0,,,,,1.0,8.0,7.0,6.0,10.0,1.0,2.0,,8.0,,,,,,,,,,,0.0,tried grouping the words together,1.0,,,,,,,,,80.0,1.0,10.5,6.5,22.0,34.0,24°C,1.0,1.0,2.0,4.0,2.0,1.0,3.0,2.0,2.0,4.0,2.0,1.0,2.0,1.0,1.0,4.0,2.0,2.0,4.0,1.0,4.0,7.0,2.0,3.0,1.0,8.0,6.0,5.0,9.0,3.0,10.0,8.0,6.0,5.0,1.0,7.0,3.0,9.0,2.0,7.0,1.0,4.0,3.0,2.0,4.0,6.0,4.0,4.0,1.0,5.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,,,,,,
1,A07,1,8,4,2,4,9,5,3,5,3.0,4.0,5,6,4,3,5,5,4,4,21.0,1,1,2.0,,,,,1.0,5.0,3.0,4.0,6.0,6.0,5.0,,3.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,Repeated each word 3 times ,1.0,,,,,,,,,58.4,1.0,20,10,25.0,30.0,15,1.0,2.0,1.0,4.0,1.0,2.0,4.0,2.0,2.0,5.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,2.0,3.0,1.0,2.0,4.0,6.0,8.0,8.0,6.0,3.0,9.0,7.0,1.0,3.0,9.0,1.0,10.0,7.0,8.0,6.0,5.0,3.0,2.0,3.0,3.0,4.0,1.0,3.0,6.0,2.0,1.0,5.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,3.0,1.0,6.0,1.0,2.0
1,A05,1,,5,2,1,8,10,8,2,4.0,5.0,5,3,5,6,6,3,5,4,,1,1,1.0,,,,,,,,,,,,,7.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,grouping and what stood out to me,1.0,1.0,1.0,,26.67,20.82,14.98,12.7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B08,2,4,3,0,6,4,6,2,2,6.0,5.0,5,5,3,3,5,5,3,2,18.0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B07,2,8.5,4,0,0,12,7,4,3,2.0,2.0,4,5,4,6,6,3,3,4,19.0,1,1,1.0,,,,,2.0,5.0,4.0,7.0,7.0,2.0,3.0,,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,i made associations between the words in my head,1.0,2.0,1.0,,16.5,15.0,22.0,13.0,1,86.0,1.0,8,5,15.0,20.0,23,2.0,1.0,1.0,4.0,2.0,1.0,3.0,1.0,2.0,5.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,5.0,2.0,1.0,6.0,7.0,8.0,2.0,4.0,10.0,1.0,3.0,7.0,5.0,9.0,8.0,6.0,2.0,4.0,1.0,3.0,6.0,5.0,2.0,5.0,6.0,1.0,1.0,5.0,1.0,4.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,4.0,1.0,5.0,2.0,
1,A10,1,8,3,1,5,7,6,5,6,4.0,4.0,5,7,5,4,6,3,5,2,21.0,1,1,1.0,,,,,1.0,6.0,6.0,4.0,10.0,6.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,63.0,1.0,10,6,40.0,25.0,21,1.0,2.0,2.0,5.0,1.0,1.0,5.0,1.0,1.0,5.0,2.0,1.0,4.0,1.0,1.0,4.0,1.0,2.0,4.0,1.0,3.0,6.0,9.0,2.0,1.0,5.0,6.0,8.0,7.0,2.0,3.0,1.0,4.0,8.0,9.0,3.0,10.0,2.0,4.0,6.0,1.0,3.0,1.0,5.0,4.0,3.0,1.0,5.0,3.0,3.0,5.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,1.0,8.0,1.0,10.0,1.0,3.0
