participant_id,lab_room,mem_total,pos1,pos2,pos3,pos4,pos5,pos6,pos7,pos8,pos9,pos10,intrusions,strategy,list_side
1,2,6,1,1,1,1,1,1,0,0,0,0,0,Visualisation,1
2,2,9,1,1,1,1,1,1,1,1,0,1,2,Story,1
3,2,2,1,1,0,0,0,0,0,0,0,0,0,No strategy,2
4,2,8,1,1,1,1,1,1,0,1,0,1,0,Associations,2
5,2,6,1,1,1,0,0,0,0,0,1,1,0,First letters,1
6,1,7,1,1,1,1,1,1,0,1,0,0,2,Song association,2
7,1,7,1,1,1,0,1,1,1,1,0,0,0,Grouping,1
8,2,8,1,1,1,1,1,1,0,1,0,1,0,Repetition,1
9,2,3,0,0,0,0,0,0,0,0,1,1,0,No strategy,2
10,1,10,1,1,1,1,1,1,1,1,1,1,0,Memory palace,1
11,2,8,0,0,1,1,1,1,1,1,1,1,0,Song association,1
12,1,3,1,1,0,0,0,0,0,0,0,0,1,First letters,2
13,1,6,1,1,1,1,0,0,0,0,0,1,0,Categories,2
14,1,3,1,1,1,0,0,0,0,0,0,0,3,Repetition,1
15,1,5,1,1,1,1,0,0,0,0,0,0,0,Grouping,1
16,2,8,1,1,1,0,1,1,1,1,0,1,0,Repetition,1
17,2,6,1,1,1,1,0,0,0,0,1,0,0,Counting,2
18,1,7,1,1,0,0,0,0,0,0,1,1,0,Story,1
19,2,6,1,0,0,0,0,0,1,1,1,1,0,No strategy,2
20,1,6,1,1,1,0,0,0,1,1,0,0,1,Visualisation,1
21,2,5,1,1,0,0,0,0,0,0,1,1,0,First letters,2
22,1,7,1,1,1,0,0,0,1,1,1,0,0,Grouping,1
23,2,8,1,1,1,1,1,1,1,0,0,0,0,Associations,2
24,1,6,1,1,1,0,0,0,0,0,1,1,0,Repetition,1
25,2,5,1,1,1,0,0,0,0,0,0,1,0,No strategy,1
26,1,7,1,1,1,1,0,0,1,1,0,0,0,Story,2
27,2,6,1,1,0,0,0,0,1,1,1,0,0,Visualisation,1
28,1,8,1,1,1,1,1,1,0,0,1,0,0,Memory palace,1
